Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001241,Female,No,0,Graduate,No,4175,0,140.0458531475553,360.0,0.0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,5720,4417,254.15305924738576,360.0,1.0,Semiurban,N
LP001579,Male,No,0,Graduate,No,2147,0,60.58030121016131,480.0,0.0,Semiurban,N
LP001334,Male,Yes,0,Not Graduate,No,4496,0,114.0286519659706,180.0,1.0,Semiurban,Y
LP002223,Male,Yes,0,Graduate,No,4046,0,133.49388305828592,360.0,,Semiurban,Y
LP001606,Male,Yes,0,Graduate,No,3419,1929,112.13654985809507,360.0,1.0,Rural,Y
LP001326,Male,No,0,Graduate,,6792,0,,360.0,,Urban,N
LP001138,Male,Yes,1,Graduate,No,6179,0,44.09316464381305,360.0,1.0,Urban,Y
LP001865,Male,Yes,1,Graduate,No,6126,4563,331.5376392237992,360.0,,Urban,Y
LP002160,Male,Yes,3+,Graduate,No,5466,3419,195.61601758820967,360.0,1.0,Semiurban,Y
LP002501,,Yes,0,Graduate,No,18083,0,110.87275630509471,360.0,1.0,Semiurban,Y
LP001011,Male,Yes,2,Graduate,Yes,5631,3780,264.9351461117819,360.0,1.0,Urban,Y
LP002536,Male,Yes,3+,Not Graduate,No,2939,0,117.98393075100151,360.0,1.0,Rural,N
LP002500,Male,Yes,3+,Not Graduate,No,3231,1615,66.42556299073847,180.0,0.0,Urban,N
LP002341,Female,No,1,Graduate,No,2727,0,162.91409614086322,360.0,1.0,Urban,N
LP001027,Male,Yes,2,Graduate,,2436,1844,109.70935177601459,360.0,1.0,Urban,Y
LP001426,Male,Yes,,Graduate,No,5596,2781,180.12247961350897,360.0,1.0,Rural,Y
LP002950,Male,Yes,0,Not Graduate,,2727,3057,153.34638607965155,360.0,1.0,Rural,Y
LP001504,Male,No,0,Graduate,Yes,6264,0,178.11551336689394,180.0,1.0,Semiurban,Y
LP001572,Male,Yes,0,Graduate,No,8567,0,72.93061370759773,180.0,1.0,Urban,Y
LP002755,Male,Yes,1,Not Graduate,No,2160,2392,127.94431325721487,360.0,1.0,Urban,Y
LP001630,Male,No,0,Not Graduate,No,2395,1405,104.88398325134835,480.0,0.0,Urban,N
LP002231,Female,No,0,Graduate,No,5922,0,155.24004149952972,360.0,1.0,Urban,Y
LP001972,Male,Yes,,Not Graduate,No,2842,1745,107.94216136377061,360.0,1.0,Semiurban,Y
LP002180,Male,No,0,Graduate,Yes,6972,0,142.4357772231217,360.0,1.0,Rural,Y
LP001543,Male,Yes,1,Graduate,No,10478,0,189.47655563856785,360.0,1.0,Urban,Y
LP002872,,Yes,0,Graduate,No,3326,2421,140.01388717809425,360.0,0.0,Semiurban,N
LP002444,Male,No,1,Not Graduate,Yes,2934,1473,185.88035930921635,360.0,,Semiurban,N
LP001776,Female,No,0,Graduate,No,8660,0,282.1855321680101,360.0,1.0,Semiurban,Y
LP002940,Male,No,0,Not Graduate,No,3754,0,110.98263394281638,360.0,1.0,Rural,Y
LP002284,Male,No,0,Not Graduate,No,4253,1727,112.20928800034257,360.0,1.0,Rural,Y
LP002082,Male,Yes,0,Graduate,Yes,5462,2005,187.1514242557423,360.0,1.0,Semiurban,Y
LP001265,Female,No,0,Graduate,No,3824,0,115.54543845993999,360.0,1.0,Semiurban,Y
LP001699,Male,No,0,Graduate,No,2588,0,55.66469862971886,360.0,1.0,Urban,Y
LP002840,Female,No,0,Graduate,No,2217,0,5.919884277665579,360.0,1.0,Urban,N
LP001708,Female,No,0,Graduate,No,9521,0,211.77249506544757,360.0,1.0,Semiurban,N
LP001734,Female,Yes,2,Graduate,No,4158,2348,122.87415445743231,360.0,,Semiurban,Y
LP001030,Male,Yes,2,Graduate,No,1201,1050,18.41091364473497,120.0,1.0,Urban,Y
LP001894,Male,Yes,0,Graduate,No,2858,2172,145.77092330586186,360.0,1.0,Semiurban,Y
LP002990,Female,No,0,Graduate,Yes,5009,0,135.5982971201073,360.0,0.0,Semiurban,N
LP001098,Male,Yes,0,Graduate,No,3425,1532,115.01196304452787,360.0,1.0,Semiurban,Y
LP001996,Male,No,0,Graduate,No,19495,0,483.94349229422755,360.0,1.0,Rural,N
LP001136,Male,Yes,0,Not Graduate,Yes,5155,0,98.1986145937561,,1.0,Urban,Y
LP001882,Male,Yes,3+,Graduate,No,4593,1639,164.97148895343898,360.0,0.0,Urban,Y
LP002917,Female,No,0,Not Graduate,No,2158,0,73.3268592235884,360.0,1.0,Semiurban,Y
LP001047,Male,Yes,0,Not Graduate,No,2790,2082,118.61182480080173,360.0,0.0,Semiurban,N
LP002640,Male,Yes,1,Graduate,No,5749,2090,246.5804026109565,360.0,1.0,Semiurban,Y
LP002103,,Yes,1,Graduate,Yes,10015,1811,183.46250821584823,180.0,1.0,Urban,Y
LP002357,Female,No,0,Not Graduate,No,2967,0,75.49732980364094,,0.0,Urban,N
LP001432,Male,Yes,2,Graduate,No,2925,0,84.79095955410449,360.0,1.0,Semiurban,Y
LP002347,Male,Yes,0,Graduate,No,3262,1431,138.7514059664322,360.0,1.0,Semiurban,Y
LP001369,Male,Yes,2,Graduate,No,10793,1168,223.15413047646348,360.0,1.0,Urban,Y
LP001673,Male,No,0,Graduate,Yes,10797,0,80.78290883026023,360.0,1.0,Urban,N
LP001514,Female,Yes,0,Graduate,No,2418,4653,101.16012847978021,360.0,1.0,Semiurban,Y
LP002225,Male,Yes,2,Graduate,No,5352,0,133.00374713482336,360.0,1.0,Urban,Y
LP002545,Male,No,2,Graduate,No,3495,0,77.86632350258267,360.0,0.0,Rural,N
LP001114,Male,No,0,Graduate,No,4374,6959,185.70979872647408,360.0,1.0,Urban,Y
LP001698,Male,No,0,Not Graduate,No,4132,2684,52.8684415899656,360.0,1.0,Rural,Y
LP001536,Male,Yes,3+,Graduate,No,36829,0,596.9392992722658,180.0,0.0,Semiurban,Y
LP001888,Female,No,0,Graduate,No,3468,0,26.01364784151589,360.0,1.0,Urban,Y
LP001155,Female,Yes,0,Not Graduate,No,1740,1759,104.57029047915917,360.0,1.0,Semiurban,Y
LP001263,Male,Yes,3+,Graduate,No,2890,4056,177.9575057175185,300.0,0.0,Semiurban,N
LP001310,Male,Yes,0,Graduate,No,5497,4016,179.00666603869684,360.0,1.0,Semiurban,Y
LP002008,Male,Yes,2,Graduate,Yes,5701,0,141.12578858440935,84.0,,Rural,Y
LP002224,Male,No,0,Graduate,No,2824,0,70.10087189981928,480.0,1.0,Urban,N
LP001020,Male,Yes,1,Graduate,No,11873,11461,349.16552663493826,360.0,1.0,Semiurban,N
LP001841,Male,No,0,Not Graduate,Yes,2338,2161,101.10027594442214,360.0,1.0,Rural,Y
LP002459,Male,Yes,0,Graduate,No,3920,0,122.5296024182741,360.0,1.0,Urban,Y
LP002928,Male,Yes,0,Graduate,No,2747,3385,60.22106906190943,180.0,1.0,Semiurban,Y
LP001532,Male,Yes,2,Not Graduate,No,2313,0,109.2839102384892,360.0,1.0,Rural,N
LP002137,Male,Yes,0,Graduate,No,6351,4173,254.35411907707777,360.0,,Semiurban,Y
LP001265,Female,No,0,Graduate,No,4228,0,107.80460471663231,360.0,1.0,Semiurban,Y
LP001473,Male,No,0,Graduate,No,1979,2080,70.06915227354948,360.0,1.0,Urban,Y
LP001367,Male,Yes,1,Graduate,No,2878,939,102.60403212152744,360.0,1.0,Urban,Y
LP001924,Male,No,0,Graduate,No,3111,2958,91.86534911991234,360.0,1.0,Rural,Y
LP001658,Male,No,0,Graduate,No,3882,0,72.63364505854915,360.0,1.0,Semiurban,Y
LP002229,Male,No,0,Graduate,No,5968,4065,295.3577303726166,360.0,1.0,Semiurban,Y
LP001265,Female,No,0,Graduate,No,3638,0,115.10780228745377,360.0,1.0,Semiurban,Y
LP001677,Male,No,2,Graduate,No,5134,0,168.3748614248353,360.0,0.0,Semiurban,Y
LP002065,Male,Yes,3+,Graduate,No,15433,0,302.0087024110424,360.0,1.0,Rural,Y
LP002515,Male,Yes,1,Graduate,Yes,3712,2246,157.61038265930569,360.0,1.0,Semiurban,Y
LP002731,Female,No,0,Not Graduate,Yes,19083,0,123.40800537802954,360.0,1.0,Urban,Y
LP002626,Male,Yes,0,Graduate,Yes,2607,3094,191.08589708639613,360.0,1.0,Urban,Y
LP002175,Male,Yes,0,Graduate,No,5195,2507,126.39854971276844,360.0,1.0,Urban,Y
LP001532,Male,Yes,2,Not Graduate,No,2359,0,109.48337327776686,360.0,1.0,Rural,N
LP001610,Male,Yes,3+,Graduate,No,5756,11490,492.44607715488416,360.0,0.0,Semiurban,N
LP002297,Male,No,0,Graduate,No,2367,21620,102.60355594461306,360.0,1.0,Semiurban,Y
LP002288,Male,Yes,2,Not Graduate,No,3096,0,48.583581880583985,180.0,0.0,Urban,N
LP001014,Male,Yes,3+,Graduate,No,2976,2536,160.39312133578704,360.0,0.0,Semiurban,N
LP001806,Male,No,0,Graduate,No,2977,5190,154.3291062938806,60.0,1.0,Urban,Y
LP002912,Male,Yes,1,Graduate,No,4225,3029,173.91858524727698,84.0,1.0,Rural,N
LP002974,Male,Yes,0,Graduate,No,3389,2137,106.53493551668302,360.0,1.0,Rural,Y
LP001186,Female,Yes,1,Graduate,Yes,10703,0,282.83735895342534,360.0,0.0,Urban,N
LP002160,Male,Yes,3+,Graduate,No,5497,3234,195.5983814647067,360.0,1.0,Semiurban,N
LP002960,Male,Yes,0,Not Graduate,No,2568,3671,,180.0,1.0,Urban,N
LP001508,Male,Yes,2,Graduate,No,11793,0,187.95457855141825,180.0,1.0,Urban,Y
LP002517,Male,Yes,1,Not Graduate,No,2896,1607,113.30531341301486,180.0,0.0,Rural,N
LP002560,Male,No,0,Not Graduate,No,2585,2740,97.43563159248036,360.0,,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,3326,0,22.345686737361873,120.0,1.0,Semiurban,Y
LP001572,Male,Yes,0,Graduate,No,8882,0,70.78748425113265,180.0,1.0,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,7455,0,124.93535383562579,60.0,1.0,Urban,N
LP001677,Male,No,2,Graduate,No,4801,0,163.93119855398956,360.0,0.0,Semiurban,Y
LP001744,Male,No,0,Graduate,No,2791,2776,141.48034114632767,360.0,1.0,Semiurban,Y
LP002467,Male,Yes,0,Graduate,No,3576,2651,177.103928641171,360.0,1.0,Urban,N
LP001653,Male,No,0,Not Graduate,No,4549,0,44.30641438155974,360.0,1.0,Rural,Y
LP001792,Male,Yes,1,Graduate,No,3190,0,98.77138115813203,360.0,1.0,Semiurban,Y
LP002035,Male,Yes,2,Graduate,No,3460,0,117.53522671122425,360.0,1.0,Semiurban,Y
LP002244,Male,Yes,0,Graduate,No,2136,2570,137.9594551340194,360.0,1.0,Urban,Y
LP002110,Male,Yes,1,Graduate,,5557,735,155.54813890479699,360.0,1.0,Rural,Y
LP001910,Male,No,1,Not Graduate,Yes,3793,2380,161.11567350433393,360.0,0.0,Urban,N
LP001562,Male,Yes,0,Graduate,No,8672,0,270.24167257938063,360.0,1.0,Urban,N
LP002211,Male,Yes,0,Graduate,No,5030,938,117.1031391917818,180.0,1.0,Urban,Y
LP002082,Male,Yes,0,Graduate,Yes,5276,2176,180.79709060282718,360.0,1.0,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,2335,0,67.36081661723097,300.0,0.0,Rural,N
LP002738,Male,No,2,Graduate,No,3281,0,106.4749235674048,360.0,1.0,Semiurban,Y
LP002244,Male,Yes,0,Graduate,No,2174,2320,137.78031314136655,360.0,1.0,Urban,Y
LP001570,Male,Yes,2,Graduate,No,4073,1365,155.2970620060019,360.0,1.0,Rural,Y
LP002833,Male,Yes,0,Not Graduate,No,4871,0,117.61220578407558,360.0,,Rural,Y
LP002408,Male,No,0,Graduate,No,3639,5359,191.58556621690593,360.0,1.0,Semiurban,Y
LP002243,Male,Yes,0,Not Graduate,No,2733,3438,,360.0,0.0,Urban,N
LP002126,Male,Yes,3+,Not Graduate,No,2954,0,74.17429068823924,360.0,1.0,Semiurban,Y
LP001426,Male,Yes,,Graduate,No,5590,2651,184.74984512740156,360.0,1.0,Rural,Y
LP002370,Male,No,0,Not Graduate,No,2489,0,59.68566046520211,180.0,1.0,Urban,Y
LP002699,Male,Yes,2,Graduate,Yes,17404,0,400.14663386248844,360.0,1.0,Rural,Y
LP002139,Male,Yes,0,Graduate,No,8646,0,223.7999032680321,360.0,1.0,Semiurban,Y
LP002603,Female,No,0,Graduate,No,610,3767,110.50780534001488,480.0,1.0,Rural,Y
LP002755,Male,Yes,1,Not Graduate,No,2036,2534,132.79486259837552,360.0,1.0,Urban,Y
LP001120,Male,No,0,Graduate,No,1873,1182,48.038643568491764,360.0,1.0,Urban,Y
LP002112,Male,Yes,2,Graduate,Yes,2565,4724,172.48572440651702,360.0,1.0,Rural,Y
LP001379,Male,Yes,2,Graduate,No,4102,3564,211.7669301378427,360.0,0.0,Urban,N
LP002100,Male,No,,Graduate,No,3029,0,72.11275413254484,360.0,1.0,Urban,Y
LP002429,Male,Yes,1,Graduate,Yes,3427,1302,128.52222239660438,360.0,1.0,Rural,Y
LP002933,,No,3+,Graduate,Yes,9194,0,295.3954768633153,360.0,1.0,Semiurban,N
LP002408,Male,No,0,Graduate,No,3652,5284,184.91792197053582,360.0,1.0,Semiurban,Y
LP001616,Male,Yes,1,Graduate,No,3615,0,113.0166150230273,360.0,1.0,Semiurban,Y
LP001369,Male,Yes,2,Graduate,No,10865,1080,221.03527787108038,360.0,1.0,Urban,Y
LP002043,Female,No,1,Graduate,No,3539,0,111.94163920139171,360.0,,Semiurban,Y
LP001005,Male,Yes,0,Graduate,Yes,2854,0,61.230673419608635,360.0,1.0,Urban,Y
LP001947,Male,Yes,0,Graduate,No,2345,3356,170.5895828696969,360.0,1.0,Semiurban,Y
LP002544,Male,Yes,1,Not Graduate,No,1926,2259,130.6960861917749,360.0,1.0,Rural,Y
LP002403,Male,No,0,Graduate,Yes,9860,0,187.5079942490229,360.0,0.0,Urban,N
LP002983,Male,Yes,1,Graduate,No,8595,254,248.81796477411964,360.0,1.0,Urban,Y
LP002348,Male,Yes,0,Graduate,No,5784,0,134.2492777442729,360.0,1.0,Rural,Y
LP002527,Male,Yes,2,Graduate,Yes,16424,947,153.6467499843943,360.0,1.0,Rural,Y
LP002379,Male,No,0,Graduate,No,6972,0,103.23168006671281,360.0,0.0,Rural,N
LP001790,Female,No,1,Graduate,No,3456,0,111.4533551740048,360.0,1.0,Rural,Y
LP001100,Male,No,3+,Graduate,No,11922,3124,319.68640122451336,360.0,1.0,Rural,N
LP001003,Male,Yes,1,Graduate,No,4665,1432,130.7772485410946,360.0,1.0,Rural,N
LP001357,Male,,,Graduate,No,3943,735,161.70287736156988,360.0,1.0,Urban,Y
LP002619,Male,Yes,0,Not Graduate,No,4188,1623,120.57554036030949,300.0,1.0,Semiurban,Y
LP002201,Male,Yes,2,Graduate,Yes,9590,7648,381.98338543310825,300.0,1.0,Rural,Y
LP001541,Male,Yes,1,Graduate,No,6167,0,157.67496754063066,360.0,,Rural,Y
LP002473,Male,Yes,0,Graduate,No,8001,0,163.97041612171452,360.0,1.0,Semiurban,N
LP001682,Male,Yes,3+,Not Graduate,No,3626,0,,180.0,1.0,Urban,N
LP001194,Male,Yes,2,Graduate,No,2801,1111,99.06195895025245,360.0,1.0,Semiurban,Y
LP001760,Male,,,Graduate,No,4965,0,161.07510683371615,480.0,1.0,Semiurban,Y
LP002187,Male,No,0,Graduate,No,2517,0,94.3129062275273,480.0,1.0,Semiurban,N
LP001349,Male,No,0,Graduate,No,5102,3527,155.72276816534708,360.0,1.0,Semiurban,Y
LP002537,Male,Yes,0,Graduate,No,1957,2956,130.99214133987374,360.0,1.0,Semiurban,Y
LP001894,Male,Yes,0,Graduate,No,2452,2049,150.5269060973212,360.0,1.0,Semiurban,Y
LP002390,Male,No,0,Graduate,No,3766,0,101.18351862938967,360.0,1.0,Urban,Y
LP002116,Female,No,0,Graduate,No,2411,0,45.14261234977697,360.0,1.0,Rural,N
LP001431,Female,No,0,Graduate,No,2083,9035,133.5955336570098,360.0,0.0,Semiurban,Y
LP002296,Male,No,0,Not Graduate,No,2498,0,63.44090808502334,300.0,1.0,Rural,N
LP001653,Male,No,0,Not Graduate,No,4506,0,48.324515740935944,360.0,1.0,Rural,Y
LP002517,Male,Yes,1,Not Graduate,No,2472,1595,110.01496998128859,180.0,0.0,Rural,N
LP002926,Male,Yes,2,Graduate,Yes,2899,0,103.63710551627427,360.0,0.0,Semiurban,N
LP002926,Male,Yes,2,Graduate,Yes,2926,0,106.52165423821248,360.0,0.0,Semiurban,N
LP001914,Male,Yes,0,Graduate,No,4057,809,114.16687451055368,360.0,1.0,Semiurban,Y
LP002138,Male,Yes,0,Graduate,No,2534,6353,189.92446931057253,360.0,1.0,Rural,Y
LP002138,Male,Yes,0,Graduate,No,2820,5678,182.96346153652388,360.0,1.0,Rural,Y
LP002502,Female,Yes,2,Not Graduate,,200,2903,99.35214017947968,360.0,1.0,Semiurban,Y
LP002863,Male,Yes,3+,Graduate,No,6238,0,153.06142062834704,360.0,1.0,Semiurban,N
LP002582,Female,No,0,Not Graduate,Yes,18763,0,222.9302114118486,360.0,1.0,Semiurban,Y
LP002129,Male,Yes,0,Graduate,No,2685,2347,162.98082901106494,360.0,1.0,Semiurban,Y
LP002979,Male,Yes,3+,Graduate,No,4125,0,35.85147406937753,180.0,1.0,Rural,Y
LP002446,Male,Yes,2,Not Graduate,No,2225,1362,120.42763816877357,360.0,0.0,Rural,N
LP001666,Male,No,0,Graduate,No,7938,4055,187.7834678632275,360.0,1.0,Rural,Y
LP001562,Male,Yes,0,Graduate,No,7816,0,275.57777853404565,360.0,1.0,Urban,N
LP001349,Male,No,0,Graduate,No,4902,3865,149.94712394143951,360.0,1.0,Semiurban,Y
LP001002,Male,No,0,Graduate,No,6012,0,,360.0,1.0,Urban,Y
LP002821,Male,No,0,Not Graduate,Yes,6165,0,136.64419713371092,360.0,1.0,Semiurban,Y
LP002683,Male,No,0,Graduate,No,4598,1751,187.04789651096547,360.0,1.0,Semiurban,N
LP001401,Male,Yes,1,Graduate,No,14904,0,180.42001133785848,180.0,1.0,Rural,Y
LP002931,Male,Yes,2,Graduate,Yes,6402,0,206.2322595383341,240.0,1.0,Semiurban,N
LP002255,Male,No,3+,Graduate,No,9114,0,184.82520649306954,360.0,1.0,Rural,N
LP002692,Male,Yes,3+,Graduate,Yes,6234,1418,103.17908925814822,360.0,1.0,Rural,Y
LP001405,Male,Yes,1,Graduate,No,2186,1286,80.74773167099626,360.0,,Urban,Y
LP001953,Male,Yes,1,Graduate,No,7534,0,201.27886993090098,360.0,1.0,Semiurban,Y
LP001473,Male,No,0,Graduate,No,1955,1844,75.86552422920234,360.0,1.0,Urban,Y
LP002855,Male,Yes,2,Graduate,No,16802,0,274.4396069161661,360.0,1.0,Urban,Y
LP001673,Male,No,0,Graduate,Yes,10736,0,82.6567082213215,360.0,1.0,Urban,N
LP001914,Male,Yes,0,Graduate,No,4032,852,109.90600344902083,360.0,1.0,Semiurban,Y
LP002959,Female,Yes,1,Graduate,No,11081,0,497.24463829550206,360.0,1.0,Semiurban,Y
LP001552,Male,Yes,0,Graduate,No,4354,5641,257.36057921150217,360.0,1.0,Semiurban,Y
LP002197,Male,Yes,2,Graduate,No,5553,0,158.8013179515891,360.0,1.0,Semiurban,Y
LP001926,Male,Yes,0,Graduate,No,4009,2174,116.37459551505202,360.0,1.0,Rural,Y
LP002305,Female,No,0,Graduate,No,4377,0,115.02323592227141,360.0,1.0,Semiurban,Y
LP001392,Female,No,1,Graduate,Yes,7184,0,,360.0,1.0,Semiurban,Y
LP001157,Female,No,0,Graduate,No,3150,0,121.78411205236443,360.0,1.0,Semiurban,Y
LP002370,Male,No,0,Not Graduate,No,2956,0,63.92848647453194,180.0,1.0,Urban,Y
LP002243,Male,Yes,0,Not Graduate,No,2944,3166,,360.0,0.0,Urban,N
LP001577,Female,Yes,0,Graduate,No,4523,0,116.88819301263,360.0,1.0,Rural,N
LP001844,Male,No,0,Graduate,Yes,16553,0,195.41659389610237,360.0,0.0,Urban,N
LP001228,Male,No,0,Not Graduate,No,3146,2434,125.21213322664426,180.0,0.0,Urban,N
LP002757,Female,Yes,0,Not Graduate,No,2831,718,101.89424671067906,360.0,,Semiurban,Y
LP002244,Male,Yes,0,Graduate,No,2212,2543,138.68548147820567,360.0,1.0,Urban,Y
LP001665,Male,Yes,1,Graduate,No,3019,2349,172.08379572282053,360.0,1.0,Semiurban,N
LP002386,Male,No,0,Graduate,,13691,0,407.14523787608596,360.0,1.0,Semiurban,Y
LP002792,Male,Yes,1,Graduate,No,5654,955,23.503304378651354,360.0,1.0,Semiurban,Y
LP001872,Male,No,0,Graduate,Yes,4816,0,126.8643910422312,360.0,1.0,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,148,1901,132.67463573087244,360.0,1.0,Rural,N
LP002288,Male,Yes,2,Not Graduate,No,2844,0,49.05809421915131,180.0,0.0,Urban,N
LP002250,Male,Yes,0,Graduate,No,5494,0,129.17647328488255,360.0,1.0,Rural,Y
LP001316,Male,Yes,0,Graduate,No,2847,2711,132.78205319115608,360.0,1.0,Semiurban,Y
LP001327,Female,Yes,0,Graduate,No,2253,2396,133.70927926607854,360.0,1.0,Semiurban,Y
LP001255,Male,No,0,Graduate,No,3637,0,108.57316506632542,480.0,1.0,Urban,N
LP002734,Male,Yes,0,Graduate,No,6020,4042,319.09322781984196,360.0,1.0,Urban,Y
LP001864,Male,Yes,3+,Not Graduate,No,5156,0,128.67286517921352,360.0,,Semiurban,N
LP002648,Male,Yes,0,Graduate,No,2327,6040,72.84188772180873,180.0,1.0,Semiurban,N
LP002386,Male,No,0,Graduate,,11916,0,409.00949251699166,360.0,1.0,Semiurban,Y
LP002031,Male,Yes,1,Not Graduate,No,3347,1550,110.48169875737344,180.0,1.0,Urban,Y
LP002158,Male,Yes,0,Not Graduate,No,3285,1675,99.32251457186416,480.0,0.0,Urban,N
LP001572,Male,Yes,0,Graduate,No,8962,0,74.00317309267841,180.0,1.0,Urban,Y
LP002170,Male,Yes,2,Graduate,No,4720,3669,232.47223091046035,360.0,1.0,Semiurban,Y
LP002717,Male,Yes,0,Graduate,No,952,5054,216.59069434223076,360.0,,Rural,Y
LP001750,Male,Yes,0,Graduate,No,5957,0,130.6834831209462,360.0,1.0,Semiurban,Y
LP002841,Male,Yes,0,Graduate,No,3386,2264,106.20243484140973,360.0,0.0,Urban,N
LP002643,Male,Yes,2,Graduate,No,3370,2094,145.83046803785558,360.0,1.0,Urban,Y
LP001098,Male,Yes,0,Graduate,No,3201,1556,118.5816665106173,360.0,1.0,Semiurban,Y
LP002219,Male,Yes,3+,Graduate,No,8570,4666,127.71678384009314,360.0,1.0,Rural,N
LP001426,Male,Yes,,Graduate,No,5134,2923,180.87208872031655,360.0,1.0,Rural,Y
LP002500,Male,Yes,3+,Not Graduate,No,2794,1655,71.82385016652522,180.0,0.0,Urban,N
LP001248,Male,No,0,Graduate,No,3151,0,80.13629139543626,300.0,1.0,Semiurban,Y
LP001708,Female,No,0,Graduate,No,9623,0,211.59052667749611,360.0,1.0,Semiurban,N
LP002625,,No,0,Graduate,No,3902,0,93.69277736515004,360.0,1.0,Urban,N
LP001693,Female,No,0,Graduate,No,2947,0,83.92208283994331,360.0,1.0,Urban,Y
LP001936,Male,Yes,0,Graduate,No,2982,2452,137.5798147011068,360.0,1.0,Rural,Y
LP002408,Male,No,0,Graduate,No,3834,5273,182.89179893077844,360.0,1.0,Semiurban,Y
LP002335,Female,Yes,0,Not Graduate,No,2162,3103,177.24846565634883,360.0,0.0,Semiurban,N
LP001535,Male,No,0,Graduate,No,3551,0,48.64322933228126,360.0,1.0,Urban,Y
LP002315,Male,Yes,1,Graduate,No,8332,0,152.65649019784811,300.0,0.0,Semiurban,N
LP002684,Female,No,0,Not Graduate,No,3158,0,91.61365866881468,360.0,1.0,Rural,N
